,train,val,test
0,normal_001,normal_021,test_001
1,normal_002,normal_028,test_002
2,normal_003,normal_029,test_003
3,normal_004,normal_034,test_004
4,normal_005,normal_041,test_005
5,normal_006,normal_044,test_006
6,normal_007,normal_051,test_007
7,normal_008,normal_054,test_008
8,normal_009,normal_062,test_009
9,normal_010,normal_066,test_010
10,normal_011,normal_067,test_011
11,normal_012,normal_068,test_012
12,normal_013,normal_091,test_013
13,normal_014,normal_095,test_014
14,normal_015,normal_100,test_015
15,normal_016,normal_103,test_016
16,normal_017,normal_106,test_017
17,normal_018,normal_120,test_018
18,normal_019,normal_122,test_019
19,normal_020,normal_127,test_020
20,normal_022,normal_129,test_021
21,normal_023,normal_134,test_022
22,normal_024,normal_141,test_023
23,normal_025,normal_146,test_024
24,normal_026,normal_147,test_025
25,normal_027,normal_151,test_026
26,normal_030,normal_153,test_027
27,normal_031,normal_154,test_028
28,normal_032,normal_156,test_029
29,normal_033,normal_157,test_030
30,normal_035,normal_159,test_031
31,normal_036,tumor_007,test_032
32,normal_037,tumor_011,test_033
33,normal_038,tumor_019,test_034
34,normal_039,tumor_020,test_035
35,normal_040,tumor_021,test_036
36,normal_042,tumor_025,test_037
37,normal_043,tumor_026,test_038
38,normal_045,tumor_029,test_039
39,normal_046,tumor_034,test_040
40,normal_047,tumor_037,test_041
41,normal_048,tumor_041,test_042
42,normal_049,tumor_046,test_043
43,normal_050,tumor_047,test_044
44,normal_052,tumor_049,test_045
45,normal_053,tumor_054,test_046
46,normal_055,tumor_056,test_047
47,normal_056,tumor_068,test_048
48,normal_057,tumor_074,test_050
49,normal_058,tumor_082,test_051
50,normal_059,tumor_089,test_052
51,normal_060,tumor_090,test_053
52,normal_061,tumor_093,test_054
53,normal_063,tumor_094,test_055
54,normal_064,,test_056
55,normal_065,,test_057
56,normal_069,,test_058
57,normal_070,,test_059
58,normal_071,,test_060
59,normal_072,,test_061
60,normal_073,,test_062
61,normal_074,,test_063
62,normal_075,,test_064
63,normal_076,,test_065
64,normal_077,,test_066
65,normal_078,,test_067
66,normal_079,,test_068
67,normal_080,,test_069
68,normal_081,,test_070
69,normal_082,,test_071
70,normal_083,,test_072
71,normal_084,,test_073
72,normal_085,,test_074
73,normal_087,,test_075
74,normal_088,,test_076
75,normal_089,,test_077
76,normal_090,,test_078
77,normal_092,,test_079
78,normal_093,,test_080
79,normal_094,,test_081
80,normal_096,,test_082
81,normal_097,,test_083
82,normal_098,,test_084
83,normal_099,,test_085
84,normal_101,,test_086
85,normal_102,,test_087
86,normal_104,,test_088
87,normal_105,,test_089
88,normal_107,,test_090
89,normal_108,,test_091
90,normal_109,,test_092
91,normal_110,,test_093
92,normal_111,,test_094
93,normal_112,,test_095
94,normal_113,,test_096
95,normal_114,,test_097
96,normal_115,,test_098
97,normal_116,,test_099
98,normal_117,,test_100
99,normal_118,,test_101
100,normal_119,,test_102
101,normal_121,,test_103
102,normal_123,,test_104
103,normal_124,,test_105
104,normal_125,,test_106
105,normal_126,,test_107
106,normal_128,,test_108
107,normal_130,,test_109
108,normal_131,,test_110
109,normal_132,,test_111
110,normal_133,,test_112
111,normal_135,,test_113
112,normal_136,,test_114
113,normal_137,,test_115
114,normal_138,,test_116
115,normal_139,,test_117
116,normal_140,,test_118
117,normal_142,,test_119
118,normal_143,,test_120
119,normal_144,,test_121
120,normal_145,,test_122
121,normal_148,,test_123
122,normal_149,,test_124
123,normal_150,,test_125
124,normal_152,,test_126
125,normal_155,,test_127
126,normal_158,,test_128
127,normal_160,,test_129
128,tumor_001,,test_130
129,tumor_002,,
130,tumor_003,,
131,tumor_004,,
132,tumor_005,,
133,tumor_006,,
134,tumor_008,,
135,tumor_009,,
136,tumor_010,,
137,tumor_012,,
138,tumor_013,,
139,tumor_014,,
140,tumor_015,,
141,tumor_016,,
142,tumor_017,,
143,tumor_018,,
144,tumor_022,,
145,tumor_023,,
146,tumor_024,,
147,tumor_027,,
148,tumor_028,,
149,tumor_030,,
150,tumor_031,,
151,tumor_032,,
152,tumor_033,,
153,tumor_035,,
154,tumor_036,,
155,tumor_038,,
156,tumor_039,,
157,tumor_040,,
158,tumor_042,,
159,tumor_043,,
160,tumor_044,,
161,tumor_045,,
162,tumor_048,,
163,tumor_050,,
164,tumor_051,,
165,tumor_052,,
166,tumor_053,,
167,tumor_055,,
168,tumor_057,,
169,tumor_058,,
170,tumor_059,,
171,tumor_060,,
172,tumor_061,,
173,tumor_062,,
174,tumor_063,,
175,tumor_064,,
176,tumor_065,,
177,tumor_066,,
178,tumor_067,,
179,tumor_069,,
180,tumor_070,,
181,tumor_071,,
182,tumor_072,,
183,tumor_073,,
184,tumor_075,,
185,tumor_076,,
186,tumor_077,,
187,tumor_078,,
188,tumor_079,,
189,tumor_080,,
190,tumor_081,,
191,tumor_083,,
192,tumor_084,,
193,tumor_085,,
194,tumor_086,,
195,tumor_087,,
196,tumor_088,,
197,tumor_091,,
198,tumor_092,,
199,tumor_095,,
200,tumor_096,,
201,tumor_097,,
202,tumor_098,,
203,tumor_099,,
204,tumor_100,,
205,tumor_101,,
206,tumor_102,,
207,tumor_103,,
208,tumor_104,,
209,tumor_105,,
210,tumor_106,,
211,tumor_107,,
212,tumor_108,,
213,tumor_109,,
214,tumor_110,,
215,tumor_111,,
